value,type,first_seen,last_seen,status,confidence,n_sources,stories
203.188.171.166,ipv4,2026-08-09,2026-08-09,active,reported,1,multi-stage-powershell-loader-distributes-via-vercel-hosted-payl
209.182.225.136,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
3.10.8.3,ipv4,2026-05-22,2026-05-22,expired,reported,1,cisco-secure-workload-cve-2026-20223-cvss-10-0-max-severity-no-w
3.15.0.3,ipv4,2026-05-16,2026-05-16,expired,reported,1,funnel-builder-wordpress-plugin-exploited-to-steal-credit-cards
37.0.3.1,ipv4,2026-07-20,2026-07-20,active,reported,1,cve-2026-42533-15-year-old-nginx-heap-overflow-enables-pre-auth
38.54.107.167,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
38.54.88.201,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
38.60.157.139,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
4.0.3.17,ipv4,2026-05-22,2026-05-22,expired,reported,1,cisco-secure-workload-cve-2026-20223-cvss-10-0-max-severity-no-w
45.151.106.110,ipv4,2026-05-06,2026-05-06,expired,reported,1,remus-infostealer-evolves-from-lumma-bypasses-app-bound-encrypti
45.59.163.198,ipv4,2026-06-04,2026-06-04,expired,reported,1,lazarus-group-npm-brandjacking-campaign-dozens-of-malicious-pack
45.76.26.42,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
45.77.149.152,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
5.2.3.14,ipv4,2026-07-28,2026-07-28,active,reported,1,cisa-adds-two-exploited-vulnerabilities-to-kev-arista-velocloud
51.159.98.241,ipv4,2026-06-10,2026-06-10,expired,reported,1,servicenow-security-incident-unauthenticated-api-endpoint-expose
51.89.204.28,ipv4,2026-07-28,2026-07-28,active,reported,1,medusahvnc-malware-sold-as-maas-uses-hidden-windows-desktops-for
6.0.6.1,ipv4,2026-08-04,2026-08-04,active,reported,1,ruby-on-rails-active-storage-flaw-cve-2026-66066-cvss-9-5-unauth
6.1.3.4,ipv4,2026-07-28,2026-07-28,active,reported,1,cisa-adds-two-exploited-vulnerabilities-to-kev-arista-velocloud
6.1.7.10,ipv4,2026-08-04,2026-08-04,active,reported,1,ruby-on-rails-active-storage-flaw-cve-2026-66066-cvss-9-5-unauth
6.4.2.4,ipv4,2026-07-28,2026-07-28,active,reported,1,cisa-adds-two-exploited-vulnerabilities-to-kev-arista-velocloud
62.102.148.212,ipv4,2026-06-22,2026-06-22,expired,reported,1,multi-stage-steganographic-campaign-delivers-remcos-rat-and-dive
